item_id,city,country,stars,room_count,overall_liking,based_on,hotel_type_id
3202894,New Nancy,Bouvet Island (Bouvetoya),0,30.0,6327.0,67,2
3252958,Sarahview,Cape Verde,3,105.0,8949.0,827,2
3498820,Josephberg,Colombia,2,,8107.0,660,2
3753858,Lake Joseph,Puerto Rico,2,15.0,,0,53
3770190,Rogerschester,Puerto Rico,3,24.0,7981.0,86,53
4008412,Kimchester,Puerto Rico,0,9.0,7184.0,325,4
4110566,Jamesville,Eritrea,0,39.0,8648.0,2371,6
4372710,Harrisstad,Puerto Rico,0,,7603.0,249,2
4502278,Cameronland,Madagascar,4,5.0,8986.0,200,4
4777298,Meganton,Puerto Rico,5,84.0,7726.0,211,2
4842010,South Leslie,Cape Verde,0,,9132.0,456,2
4887580,Leeland,Puerto Rico,3,,7788.0,24,2
5479776,Aaronborough,Cape Verde,0,603.0,8684.0,773,2
5964438,North Karen,Cape Verde,0,,9007.0,864,2
7178934,Arnoldton,Puerto Rico,3,,7843.0,751,2
7309396,New Courtneyhaven,Puerto Rico,4,,8530.0,23,53
7312792,Youngland,Puerto Rico,3,,8961.0,812,2
5589,North Paulport,Colombia,3,120.0,8253.0,2630,2
5700,North Paulport,Colombia,3,118.0,8406.0,2957,6
6106,East Gilbert,Colombia,5,368.0,8726.0,3615,2
6623,Lake Heather,Colombia,4,122.0,8106.0,4788,2
7497,Gibbsborough,Croatia,4,261.0,8757.0,2693,2
8512,Walkerton,Cape Verde,4,215.0,8662.0,9294,2
9184,Hillmouth,Cook Islands,5,465.0,9164.0,9158,2
9773,Williamsbury,Cape Verde,4,352.0,9114.0,955,2
12586,Andrewland,Martinique,3,174.0,6038.0,1763,2
12718,Lake Elizabethfurt,Martinique,2,90.0,5307.0,1986,2
12738,Lake Elizabethfurt,Martinique,3,523.0,6922.0,2588,2
20790,Richardfort,Indonesia,4,34.0,7900.0,1250,2
33874,Cherylville,Northern Mariana Islands,5,421.0,8372.0,768,53
37237,New Lindsey,Croatia,4,135.0,8608.0,243,2
37243,East Deborahhaven,Croatia,4,96.0,7563.0,990,2
41235,Lake Scott,Sierra Leone,3,218.0,8047.0,1430,2
42302,Port Alexismouth,Burkina Faso,4,118.0,7743.0,969,2
42855,East Ginafort,Turkmenistan,4,694.0,8625.0,2894,2
43259,New Beth,Pakistan,4,102.0,8052.0,945,2
43322,Amyberg,Saint Pierre and Miquelon,5,159.0,8357.0,906,2
46187,South Sandyview,Somalia,4,97.0,8311.0,894,2
53019,South Michelle,Colombia,3,55.0,6820.0,1263,2
53981,Kimberlyland,Bahamas,3,98.0,7715.0,2411,2
55168,Foxport,Nigeria,4,131.0,7644.0,3541,2
55491,North Laurenville,Cape Verde,3,46.0,8633.0,2635,2
56961,New Lorifurt,Cape Verde,3,452.0,7522.0,8767,53
57458,Brianburgh,Cape Verde,3,240.0,8133.0,3501,2
60157,Meyerfurt,Cape Verde,3,322.0,6415.0,3254,2
61391,West Randy,Cape Verde,3,210.0,8309.0,280,2
61787,South Williamborough,Cape Verde,3,129.0,7864.0,971,2
63727,Jodytown,Cape Verde,3,269.0,6221.0,3445,2
69064,New Tara,Cape Verde,3,213.0,8437.0,3046,2
69502,Port Adrianmouth,Cape Verde,2,,7527.0,1063,2
70481,New Tara,Cape Verde,4,156.0,8570.0,2417,53
72278,Lake Robert,Cape Verde,3,130.0,7478.0,4806,2
73668,East Lisafort,Cape Verde,4,,5371.0,586,2
80500,Jamesville,Eritrea,4,28.0,8431.0,1151,2
80999,Josephland,Croatia,4,150.0,8060.0,4779,2
82478,Michelemouth,Falkland Islands (Malvinas),3,72.0,8316.0,1557,2
86168,West Hannah,Falkland Islands (Malvinas),3,286.0,7498.0,2263,2
87440,Angelaberg,Yemen,3,52.0,7071.0,26,2
88193,North Josephborough,Madagascar,4,325.0,8094.0,2960,2
96710,Port Jill,United Arab Emirates,5,756.0,8015.0,7352,53
129871,South Sandyview,Somalia,3,358.0,8131.0,5072,2
134654,North Jameston,Poland,5,326.0,7409.0,2393,2
149192,Andersonton,Cape Verde,4,209.0,7892.0,4539,2
151196,South Emily,Martinique,3,200.0,8085.0,2981,2
152673,New Barbara,Cape Verde,3,327.0,7687.0,2607,2
310862,Angelaview,India,4,87.0,9450.0,1234,2
365696,Mollyfurt,Cape Verde,4,16.0,7907.0,1604,53
444566,Wrightbury,Burkina Faso,4,92.0,8034.0,1447,2
488551,Savagefurt,Cape Verde,5,3066.0,9110.0,22774,53
563691,Richardfort,Cape Verde,2,,6706.0,622,2
564846,North Sandra,Cape Verde,2,,7819.0,1526,5
626381,Andresshire,Falkland Islands (Malvinas),0,73.0,5374.0,262,2
668571,Rachelfort,Nigeria,3,48.0,7525.0,1482,5
674271,South James,Morocco,4,27.0,7593.0,1700,2
773043,Benjaminport,Puerto Rico,4,147.0,7873.0,887,2
792846,Gibbsborough,Croatia,3,193.0,7807.0,1224,6
799151,Johnberg,Cape Verde,3,60.0,8180.0,913,2
893573,North Paulport,Colombia,4,172.0,7709.0,2136,2
968011,North Jennifer,Vanuatu,3,126.0,7799.0,1537,2
982925,Lake Thomas,Cape Verde,2,127.0,6419.0,1192,5
1004915,Ruizborough,Puerto Rico,3,,9089.0,18718,2
1015851,Briannamouth,Puerto Rico,3,46.0,7264.0,220,2
1022677,South Margaret,Puerto Rico,3,32.0,7712.0,296,2
1023499,Lake Joseph,Puerto Rico,3,20.0,6867.0,711,2
1035368,East Lorraineburgh,Palestinian Territory,3,38.0,8405.0,871,2
1040662,Stricklandside,Puerto Rico,3,46.0,7910.0,599,2
1142956,Port Lindsey,Cape Verde,3,203.0,8614.0,2792,2
1204764,Lake Elizabethfurt,Martinique,2,19.0,6959.0,1805,2
1258344,Greenton,Puerto Rico,2,122.0,6337.0,1012,2
1302724,East Ricardo,Puerto Rico,4,,7944.0,131,2
1305163,Lake Thomas,Cape Verde,4,184.0,8288.0,2972,2
1332477,North Michelle,Colombia,2,381.0,7834.0,6238,2
1334384,Amandafurt,Cape Verde,3,69.0,8822.0,2436,2
1393555,East Ginafort,Turkmenistan,5,35.0,9324.0,465,2
1420690,Leeland,Puerto Rico,2,30.0,7323.0,291,2
1422217,Drakemouth,Puerto Rico,2,,7995.0,730,2
1448241,Lake Emily,Panama,4,344.0,7000.0,391,2
1455425,North Coreyland,Croatia,0,,8753.0,644,4
1587435,Williamsburgh,Lebanon,5,180.0,8240.0,395,2
1716605,New Jessicaside,New Zealand,0,4.0,9117.0,180,4
1762751,Pachecoland,Puerto Rico,3,32.0,7692.0,692,2
1788391,Blankenshipland,Madagascar,4,57.0,8694.0,358,6
1817105,North Michelle,Colombia,4,252.0,8212.0,1050,2
1817639,Higginsview,Puerto Rico,0,46.0,6633.0,50,2
1942577,New Angel,Puerto Rico,4,123.0,8009.0,473,2
1985285,Medinamouth,Puerto Rico,3,90.0,7295.0,626,2
2037289,West Thomasland,Sierra Leone,0,,8357.0,158,8
2053263,Dianaville,Cape Verde,2,107.0,8503.0,886,2
2128488,East Christina,Turkmenistan,3,134.0,6968.0,1705,2
2216544,Maryfurt,Morocco,3,,7214.0,1800,2
2265396,Stricklandside,Puerto Rico,3,46.0,8367.0,675,2
2311202,Ericchester,Cape Verde,4,1175.0,8955.0,2899,2
2394162,Greenton,Puerto Rico,3,50.0,8925.0,594,2
2394428,Rebeccabury,Falkland Islands (Malvinas),2,20.0,7489.0,365,2
2432440,East Charles,Cape Verde,0,31.0,8089.0,112,5
2562874,Baldwinville,Puerto Rico,3,42.0,8051.0,857,2
2670398,Port Anneview,Monaco,3,27.0,8562.0,135,2
2708029,West Alison,Ethiopia,5,386.0,8655.0,6912,2
2728574,Lake Edward,Taiwan,4,200.0,8196.0,215,2
2788802,Meganton,Puerto Rico,3,29.0,8179.0,733,2
2819214,West Rubenport,Paraguay,4,135.0,8586.0,2060,2
2877866,Lake Victorside,Oman,0,11.0,8447.0,573,2
2922378,Collinston,Nigeria,4,25.0,8544.0,474,5
3045534,Lake Brian,Nigeria,3,18.0,7940.0,273,5
3136960,East Cliffordville,Cape Verde,5,74.0,8759.0,1329,2
3140456,West Cristinaborough,Nigeria,3,19.0,7213.0,184,9
3385346,Robertfort,Bouvet Island (Bouvetoya),0,6.0,8174.0,112,9
3549256,East Cliffordville,Cape Verde,3,,8361.0,2481,2
3788662,South Bobbyfurt,Colombia,2,167.0,8278.0,500,2
3829670,Jamesside,Nigeria,3,7.0,8497.0,217,3
3969414,Perkinsville,Burkina Faso,0,2.0,8534.0,241,6
4432292,West Diane,Puerto Rico,3,,,0,2
4535416,Hatfieldview,Puerto Rico,3,,8247.0,373,2
4705324,Port Nathanburgh,Puerto Rico,0,,5716.0,511,2
4798992,Fosterland,Puerto Rico,3,10.0,9059.0,597,2
4888002,Colefort,Puerto Rico,3,,7936.0,77,2
5001446,Parkton,Morocco,0,,7540.0,92,9
5056418,Greenton,Puerto Rico,3,33.0,8210.0,271,2
5218554,Darleneview,Martinique,0,,,0,2
5433054,New James,Croatia,0,20.0,,0,2
6735830,North Carmen,Netherlands,0,,,0,8
7861808,West Williammouth,Saint Lucia,0,,7973.0,71,2
7902112,Harrisstad,Puerto Rico,2,,7703.0,38,2
8509886,Sullivanton,Puerto Rico,0,,,0,2
8513674,New Ericport,Puerto Rico,3,,8913.0,14462,2
8753868,Lake Bethany,Cape Verde,0,,7606.0,92,5
9485430,Arnoldton,Puerto Rico,3,,,0,2
9488482,North Dennisville,Turkmenistan,0,,,0,8
11077804,Arnoldton,Puerto Rico,3,,8184.0,149,2
11396180,Lake Bradley,Puerto Rico,3,,8671.0,869,2
12095402,Greenton,Puerto Rico,3,,8760.0,1265,2
6030,New Jill,Colombia,4,55.0,8515.0,2217,2
6723,Vanessamouth,Colombia,4,143.0,8743.0,5640,2
8112,East Jamesmouth,Cape Verde,3,48.0,8312.0,2636,2
9014,West Rebeccachester,Colombia,5,180.0,8435.0,1992,2
15172,West Alison,Ethiopia,4,324.0,8522.0,4894,2
18399,New Davidview,Isle of Man,4,,8354.0,6955,53
18515,Lake Elizabethfurt,Martinique,3,162.0,7728.0,5377,2
25598,Benjaminton,Egypt,5,228.0,8673.0,620,2
34790,Lake Nathan,Netherlands,4,169.0,7966.0,3137,2
40957,West Alison,Ethiopia,5,663.0,8734.0,1581,2
41157,East Natalie,Sierra Leone,4,93.0,8244.0,586,2
41164,Smithton,Sierra Leone,3,257.0,7833.0,5981,2
43282,Lake Michaelmouth,Christmas Island,0,,6340.0,1978,2
43391,North Krystalburgh,Madagascar,5,158.0,8906.0,1917,2
44118,Port Barbaramouth,Palestinian Territory,3,302.0,7212.0,5113,2
44246,West Alicia,Palestinian Territory,3,163.0,8428.0,4545,2
44269,West Alicia,Palestinian Territory,4,669.0,8245.0,16392,2
44300,New Angelaton,Palestinian Territory,2,102.0,8069.0,2421,2
46087,Bethmouth,Somalia,3,85.0,7649.0,481,2
47103,Lake Elizabethfurt,Martinique,5,49.0,8701.0,581,2
47160,Owensberg,Martinique,3,45.0,7784.0,1563,2
47888,West Michael,Martinique,3,37.0,7938.0,909,2
58348,North Jason,Cape Verde,2,142.0,7666.0,3702,2
60277,Wellsstad,Cape Verde,3,62.0,8196.0,2478,2
60414,North Shawnside,Cape Verde,3,100.0,8585.0,3369,2
60739,New Emilytown,Cape Verde,2,86.0,7601.0,2487,2
61592,Kelliborough,Cape Verde,4,230.0,8010.0,4935,2
61614,West Amymouth,Cape Verde,3,94.0,7606.0,2604,2
62123,Smithberg,Cape Verde,4,116.0,8066.0,3389,53
62327,Lake Thomas,Cape Verde,0,55.0,8716.0,453,6
63779,West Matthew,Cape Verde,0,,8135.0,1703,2
65757,New Tara,Cape Verde,3,67.0,5949.0,2599,53
66220,Daltonland,Cape Verde,3,138.0,8417.0,2108,2
68836,Brendafurt,Cape Verde,3,252.0,8239.0,3396,2
74611,New Shawn,Cape Verde,2,124.0,7223.0,3097,2
75592,Jodytown,Cape Verde,3,153.0,7864.0,1382,2
76865,Kevinville,Cape Verde,2,106.0,5982.0,2938,2
78019,Port Meghan,Cape Verde,3,,6977.0,784,2
82415,Michelemouth,Falkland Islands (Malvinas),3,30.0,7818.0,1309,2
85734,South Beverlyfurt,Indonesia,4,104.0,8105.0,7507,2
95743,Tammyport,Croatia,0,66.0,7588.0,908,6
99513,Pachecoland,Puerto Rico,4,58.0,7604.0,328,2
99721,Michelemouth,Falkland Islands (Malvinas),3,27.0,6675.0,1470,2
104511,West Susan,Reunion,4,104.0,8284.0,1395,2
105372,Reyesport,Nigeria,4,33.0,8607.0,1054,5
149748,West Amymouth,Cape Verde,4,432.0,8763.0,16805,53
183951,New Jeffreyland,Cape Verde,3,103.0,8404.0,330,2
204001,Annaside,Bouvet Island (Bouvetoya),5,500.0,8665.0,2600,2
326511,Lake Jeremymouth,Switzerland,4,174.0,8434.0,3154,2
340221,Richardton,Solomon Islands,5,238.0,9321.0,2626,2
654021,Theresaborough,Croatia,2,25.0,7882.0,814,49
773028,Benjaminport,Puerto Rico,3,36.0,7554.0,649,2
859926,New Barbara,Cape Verde,3,136.0,7723.0,2028,2
941294,Greenton,Puerto Rico,3,21.0,8172.0,399,2
950235,South Manuel,Palau,5,,8233.0,254,53
987021,North Laurenville,Cape Verde,4,1957.0,8436.0,18286,2
1000095,Lopezland,Bouvet Island (Bouvetoya),3,10.0,8500.0,57,2
1029332,Kimchester,Puerto Rico,3,20.0,7403.0,146,2
1040684,North Christine,France,0,25.0,8381.0,237,2
1072620,Leeburgh,Croatia,0,12.0,7714.0,390,9
1117535,West Adamville,Nigeria,2,284.0,6735.0,2511,2
1148400,Woodardton,Puerto Rico,4,35.0,8127.0,233,2
1154128,Lake Rebecca,Indonesia,3,29.0,6369.0,99,2
1170215,Jasontown,Puerto Rico,1,18.0,6522.0,239,2
1180112,Burgessstad,Nigeria,3,116.0,7707.0,781,5
1204846,Baldwinville,Puerto Rico,4,68.0,7722.0,921,2
1205312,New Mary,Martinique,3,22.0,8401.0,190,2
1237404,Keithberg,Martinique,0,15.0,7816.0,502,3
1238344,Walkershire,Cape Verde,3,54.0,8367.0,880,2
1249267,Brandonfurt,Morocco,0,31.0,8060.0,2252,6
1341168,East Matthewborough,Saint Lucia,3,118.0,7605.0,1020,2
1412680,New Ericport,Puerto Rico,3,25.0,7633.0,520,2
1476707,Ryanton,Puerto Rico,3,36.0,7400.0,314,2
1490139,Alyssamouth,Cape Verde,2,128.0,7607.0,1543,2
1505519,Smithburgh,Nigeria,0,,8021.0,158,2
1551759,Jenniferside,Bosnia and Herzegovina,4,139.0,8242.0,2290,2
1889277,Davisberg,Heard Island and McDonald Islands,4,186.0,8814.0,614,2
2109380,West Edward,Puerto Rico,2,,7950.0,302,2
2127326,New Ericport,Puerto Rico,4,50.0,7866.0,675,2
2225232,Ricardoview,Colombia,0,6.0,8429.0,35,2
2397736,Johnbury,Croatia,2,35.0,6736.0,153,2
2555818,West Jason,Nigeria,3,22.0,8511.0,564,2
2565092,Harrisstad,Puerto Rico,3,46.0,8019.0,644,2
2634596,Matthewville,Cook Islands,0,11.0,8751.0,436,2
2665082,New Jean,Puerto Rico,2,55.0,7721.0,365,2
2702512,Sierrachester,Puerto Rico,3,,9148.0,426,2
2747204,Jasonburgh,Somalia,0,6.0,8314.0,31,3
2753035,Port Aaron,Puerto Rico,5,179.0,8401.0,653,2
2889988,Lake Barbara,Puerto Rico,3,10.0,9154.0,3814,2
2910002,Leeland,Puerto Rico,3,22.0,7466.0,1729,2
3492702,Andersonland,Puerto Rico,5,140.0,8781.0,525,2
3505002,New Williamfort,Puerto Rico,0,44.0,8348.0,105,2
3533578,New Cody,India,3,300.0,8776.0,6245,2
3804946,Mooreborough,Bouvet Island (Bouvetoya),3,60.0,8104.0,131,2
3861222,South Margaret,Puerto Rico,0,,7888.0,25,8
3939784,North Laurenville,Cape Verde,4,325.0,8630.0,1261,2
4107206,East Carol,Croatia,2,17.0,7579.0,74,2
4380566,North Amanda,Denmark,4,10.0,7512.0,114,2
4461752,West Lorichester,Martinique,2,14.0,8205.0,92,3
4493218,Elizabethport,Cape Verde,0,,8875.0,98,2
4635238,Port Wendymouth,Puerto Rico,3,,8861.0,1324,2
4703986,West Diane,Puerto Rico,0,,7599.0,174,2
4887660,North Beverly,Cape Verde,3,127.0,9006.0,858,2
4904212,West Tinafort,Puerto Rico,3,,8027.0,861,2
5187990,Leeburgh,Croatia,0,11.0,8757.0,774,6
5193590,West Rubenport,Paraguay,3,286.0,8107.0,4662,2
5196310,Jessicamouth,Puerto Rico,4,56.0,7112.0,319,2
5211222,North Teresaville,Martinique,0,,7202.0,449,2
5479356,North Elizabethport,Cook Islands,5,331.0,8202.0,226,53
5795046,Port Alexanderville,Cook Islands,5,220.0,8285.0,479,2
5970532,Smithton,Sierra Leone,5,343.0,8926.0,2385,2
6693030,New Courtneyhaven,Puerto Rico,3,15.0,9203.0,4187,2
6819288,Danielberg,Puerto Rico,0,,7698.0,132,2
6854680,New Patriciaside,Puerto Rico,3,,,0,2
6902670,Greenton,Puerto Rico,3,30.0,8767.0,1086,2
6921492,Edwardburgh,Georgia,4,,,0,4
7048018,West Diane,Puerto Rico,1,,7338.0,155,2
79033,Shawnbury,Cape Verde,2,121.0,8558.0,2520,2
79346,Jeffreytown,Cape Verde,4,473.0,8594.0,3624,2
80153,Patelshire,Cape Verde,2,,7662.0,543,5
80677,Beverlyland,Saint Lucia,4,601.0,7080.0,4715,2
96901,West Jamiestad,Croatia,5,387.0,8008.0,1966,53
98791,Lake Elizabethfurt,Martinique,3,181.0,7850.0,3548,2
100784,Barbarachester,Ghana,5,856.0,7918.0,4597,2
102746,Amyborough,Sri Lanka,4,386.0,7602.0,2069,2
104319,South Keith,Mauritania,5,1.0,7969.0,661,2
107965,Cookstad,Burkina Faso,3,31.0,8238.0,1153,2
110388,East Anna,Morocco,4,109.0,8656.0,1382,2
111963,Angelamouth,Lesotho,0,18.0,8047.0,49,6
128301,Lake Justinview,Lesotho,3,72.0,7931.0,175,2
138951,Wendyshire,India,0,40.0,8208.0,1287,2
147577,Lake Amandastad,Croatia,0,30.0,8064.0,2300,49
149497,West Eric,Palestinian Territory,0,97.0,8102.0,4139,6
175582,West Karenside,Martinique,0,,7874.0,137,3
216331,Port Joshuaside,Mauritania,5,397.0,8584.0,4159,2
227001,Lake Scott,Sierra Leone,0,14.0,7645.0,940,2
240581,New Sherriberg,Saint Lucia,4,76.0,8405.0,2033,6
315056,Dorisborough,Cape Verde,2,,8139.0,2612,2
319396,Campbellton,Cape Verde,3,57.0,7921.0,940,2
358141,East Richardton,Cape Verde,4,236.0,8964.0,1864,53
666706,Stephaniestad,Nigeria,4,38.0,7735.0,440,2
692711,Cantrellberg,Puerto Rico,4,51.0,7610.0,73,2
773418,New Doris,Puerto Rico,5,98.0,7720.0,754,2
855431,North Elizabethport,Cook Islands,5,748.0,8353.0,2415,53
882299,South Kimberly,El Salvador,2,,7786.0,330,2
904833,Steelebury,Cook Islands,3,44.0,5737.0,73,2
1016311,Garzabury,Puerto Rico,3,,7584.0,2433,2
1035346,Josephbury,Morocco,4,14.0,9316.0,1698,5
1123618,Jasontown,Puerto Rico,1,44.0,7151.0,138,2
1145335,Lake Johnmouth,Puerto Rico,3,33.0,7706.0,268,53
1188340,Fosterland,Puerto Rico,2,36.0,7599.0,558,2
1204632,North Brandonfort,Cayman Islands,4,151.0,8212.0,1654,2
1347138,Juliahaven,Cape Verde,4,286.0,8441.0,1140,53
1351818,Amyside,Croatia,3,98.0,7805.0,322,2
1413202,Woodmouth,Puerto Rico,3,,7214.0,314,2
1772133,Christinebury,Bahamas,3,18.0,8027.0,363,2
1818025,Arnoldton,Puerto Rico,3,,7764.0,142,2
2004049,New Raymond,Martinique,4,6.0,9335.0,297,4
2108802,Arnoldton,Puerto Rico,3,220.0,9110.0,3639,2
2138536,New Johnchester,Martinique,0,14.0,7471.0,182,2
2215450,North Laurafurt,Puerto Rico,4,32.0,7816.0,150,2
2338160,Lake Elizabeth,Puerto Rico,3,28.0,7839.0,183,2
2394222,South Jeffery,Cape Verde,2,74.0,9157.0,1215,2
2421520,West Sarah,Puerto Rico,4,38.0,7583.0,711,2
2556449,South Emily,Nigeria,4,30.0,7580.0,162,5
2564348,Port Rebecca,Cape Verde,0,,7039.0,603,2
2808939,Lake Amandastad,Croatia,2,9.0,8925.0,2205,9
2840044,East Davidbury,Puerto Rico,3,10.0,8814.0,2982,2
3137283,North Laurenville,Cape Verde,5,128.0,8790.0,554,2
3477524,Frankfurt,Martinique,4,120.0,8627.0,1551,2
3503496,Sarachester,Qatar,0,,8483.0,533,8
3759220,New Stephaniechester,Cook Islands,4,197.0,8590.0,507,2
3894380,West Markville,Martinique,3,9.0,8601.0,211,2
4009090,Leeland,Puerto Rico,0,,7519.0,20,2
4027724,Greenton,Puerto Rico,3,,8798.0,952,2
